gene_name,gene_index,log2FC,p_value,adj_p_value
SERPINB8,8232,2.672016,0.002541635420843546,0.012324085509731407
RELB,8233,1.658982,0.04742014028456978,0.1054501914909266
CAMKMT,8234,1.475328,0.09446595092088393,0.1749622731119991
MPHOSPH9,8235,1.520146,0.08171440623719431,0.15817012352907892
MEOX1,8236,5.444236,1.5711235461246337e-09,1.9963018397275516e-07
GHDC,8237,3.129481,0.001312524104628856,0.007436881617858238
DACT2,8238,0.511162,0.5830952124535489,0.6788133770931494
NINJ2,8239,2.623112,0.0023779004793513157,0.011705901385232451
ORC3,8240,1.592292,0.067611944437332,0.13732195024328636
LIPA,8241,2.787479,0.0011421918055403268,0.006675265725585874
GRB7,8242,-0.969477,0.3144031547930928,0.42652477461699245
IGKV3D-15,8243,3.290708,0.0003345594770117182,0.002632250901201222
G6PC,8244,0.262918,0.7321238547556358,0.81415511755141
FHL2,8245,2.54148,0.0020800195741835664,0.010592560338577809
RAP1B,8246,2.815022,0.000556708872281144,0.003868684829915632
POGLUT1,8247,2.397472,0.001514981262772317,0.008320782229684253
ANKMY1,8248,0.782897,0.3608149753655642,0.46158544348551817
CHST14,8249,4.00707,8.16935980031395e-06,0.0001512636817913394
VAT1,8250,2.997378,0.0015736567938309514,0.008564257595376677
YLPM1,8251,0.918392,0.2616638935332659,0.37390587992303415
CCDC68,8252,1.953725,0.03619977908020334,0.08632996582242901
ANO9,8253,0.857473,0.3078264909749814,0.4250711220787908
ATOX1,8254,1.515664,0.041848966254908075,0.09630492748369864
BORCS5,8255,1.101443,0.16930768306267632,0.2685828701197992
GGA2,8256,0.993951,0.18446731275955955,0.2864988126528943
AGPAT4,8257,3.086758,0.0010269902241911316,0.006157253319169046
HDAC11,8258,1.877313,0.03129092458965679,0.07736728229679073
NECTIN1,8259,-0.785686,0.4148472318059684,0.5163248034499579
LRRC14,8260,2.360522,0.003744317141336469,0.016385338072294486
TECR,8261,1.023469,0.2000508277157252,0.3044809453667724
SLC22A7,8262,-0.473658,0.5930084523467614,0.687712474669387
RHBDL2,8263,-0.645826,0.4575890144305046,0.558513175967745
IGLV10-54,8264,2.684112,0.002947774951509825,0.013725860155919421
IGLV5-52,8265,2.588468,0.0029593248724868555,0.013765249122752926
ATG2A,8266,0.789497,0.372089228166688,0.47360963200102857
TLCD1,8267,-0.720795,0.38021466873337373,0.481866142728607
OMP,8268,-1.12001,0.21319653103663255,0.3197217673709902
RPL37A,8269,1.98349,0.034265296330115144,0.08294146737923559
OSBP,8270,1.829846,0.024997451380680862,0.06572464829184488
FBXW11,8271,1.733433,0.06820163145624612,0.1381493256548946
RNASE2,8272,1.873602,0.04283493242902859,0.09781975238023558
CLDN10,8273,1.05007,0.30635339972877784,0.4233930780818416
ZNF709,8274,2.595385,0.0027500741060093774,0.013016974915327786
ZCCHC9,8275,2.978853,0.0008337207749794987,0.005239276870134323
PPP4R1,8276,0.3298,0.6746858098089519,0.7622425243173622
ANAPC7,8277,2.061651,0.02782018479511877,0.07089451049652501
SIN3B,8278,1.265382,0.14720432968526057,0.24423719884868775
CASS4,8279,0.767996,0.40187207682680925,0.5035219235336614
FOXA1,8280,-2.153661,0.019964037455294188,0.055583875340128715
RAB3IL1,8281,4.427368,1.322728286749038e-06,3.624349092801502e-05
CRB3,8282,-1.479384,0.0827688838253055,0.15975934081648682
AKR1C1,8283,0.693257,0.46877303847892804,0.5696229958103597
DPCD,8284,1.84462,0.04156257704991454,0.09580254246640534
DDX42,8285,2.507262,0.0083747562242632,0.02954182137407508
GBP4,8286,1.073774,0.20887436826768982,0.3147494209302247
ATG4C,8287,2.972687,0.0004802895521590814,0.0034637791040536834
LIG3,8288,0.834107,0.2753250415313739,0.3891052353921185
NEK7,8289,1.155606,0.14268171620086315,0.23866297256522373
CREG2,8290,1.248916,0.22302872551629999,0.3309760379761432
ATP6V1A,8291,1.672502,0.053115991139270964,0.11464387600953466
ACSF3,8292,1.968826,0.04119535267157389,0.09512566263319588
ARL6,8293,2.03849,0.012350349859447149,0.03912433551711984
TCN2,8294,3.896627,3.1478448409853525e-05,0.00042340811019679197
ZNF689,8295,1.888425,0.01823042516351135,0.05194783326117483
JAG2,8296,1.871324,0.03532721108488045,0.08478327219276455
NUDT16,8297,2.107125,0.010475499058765367,0.03479059456452065
PDE4D,8298,3.59173,0.00011698054637310916,0.0011610245562199614
PPP1R35,8299,1.431645,0.10951052702001755,0.19478754900879072
CCRL2,8300,0.114141,0.8985792644868704,0.9539747852376911
KCNE3,8301,-0.237519,0.8126689769387413,0.8831370464267274
WWP1,8302,1.071782,0.22883659290334704,0.33744833209497305
